trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
116,False,"{'a': 0.5, 'e': 0.3039999999999994}",25,8,11.145376272007807,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.2979999999999994}",30,19,-16.27277635204589,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.29199999999999937}",20,12,3.1676411754819522,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.28599999999999937}",20,3,-5.722342832839443,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,8,20.070367839539493,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.27399999999999936}",30,0,39.683715928077554,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.26799999999999935}",25,1,-27.296257421099625,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 1}",1
123,False,"{'a': 0.5, 'e': 0.26199999999999934}",20,10,5.601323006254631,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.25599999999999934}",25,6,22.245973190026945,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.24999999999999933}",35,22,10.641913822884332,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.24399999999999933}",25,12,-61.45980086261251,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 2}",1
127,False,"{'a': 0.5, 'e': 0.23799999999999932}",25,2,41.23328149863476,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.23199999999999932}",25,7,-9.758241666207073,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'a': 0.5, 'e': 0.2259999999999993}",20,13,12.196445579028136,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,3,-8.499765613572794,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.2139999999999993}",20,10,17.40723751016501,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2079999999999993}",20,14,10.824099394489547,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2019999999999993}",25,13,-41.49340521244792,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.19599999999999929}",20,7,8.946647539553162,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.18999999999999928}",25,16,15.858060394687133,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.18399999999999928}",20,13,13.080710385399135,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.17799999999999927}",20,12,16.55808911020157,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.17199999999999926}",25,17,12.866125757663069,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.5, 'e': 0.16599999999999926}",20,8,-29.685979881105283,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.15999999999999925}",30,17,8.817174881967658,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.15399999999999925}",20,10,18.05272049800308,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
